unit_id,origin_trip_count,origin_expanded_mass,destination_trip_count,destination_expanded_mass,unit_x_32719,unit_y_32719,unit_area_km2,unit_bbox_span_m,representation
87b2c550cffffff,5418,10159.3023,5017,7437.0509,334384.6938229401,6305023.023613647,4.477555718633649,2700.9267267776886,h3_r7
87b2c550dffffff,66311,117027.12739999995,53648,81661.2994,336340.6700759162,6303988.947110945,4.475573009758329,2700.308317471179,h3_r7
87b2c550effffff,2554,4772.2546,2743,4366.7037,332289.55539009545,6303843.075047433,4.477623521271934,2701.177793185925,h3_r7
87b2c5511ffffff,4153,7702.980800000001,3953,6033.891899999999,326279.3060429655,6304731.519584721,4.481649861436096,2702.6646516024484,h3_r7
87b2c5518ffffff,1990,3704.6702999999998,1859,2954.8561,328099.1723985019,6301483.069095969,4.477753401519888,2701.6787616881193,h3_r7
87b2c5519ffffff,1597,2658.6013000000003,1483,2195.3982000000005,330056.17083496053,6300449.501878457,4.4757734097350586,2701.060681955947,h3_r7
87b2c551cffffff,1117,2185.2113000000004,1105,1785.9975999999995,328237.13699588197,6303697.145639004,4.479669864767665,2702.0465949661448,h3_r7
87b2c551effffff,8218,15350.547500000002,8521,13243.0018,326141.58739678026,6302516.954722742,4.479732942123722,2702.296774844581,h3_r7
87b2c5528ffffff,75504,116347.68290000009,56306,83161.4872,336618.9815750056,6308417.545488445,4.479398457899159,2701.0419927011244,h3_r7
87b2c5529ffffff,577429,859039.8706000035,527409,776455.5956000001,338574.862355671,6307382.811534597,4.477414389064188,2700.4234305104474,h3_r7
87b2c552bffffff,128476,209261.82290000006,112780,169620.30569999994,336479.79629192105,6306202.935802191,4.4774860078513425,2700.6752724964754,h3_r7
87b2c552dffffff,10304,15541.143900000003,18409,26684.36749999999,338714.3520574783,6309597.554104374,4.4793258325368654,2700.7898723048274,h3_r7
87b2c5540ffffff,569412,816631.559500003,547683,783850.7030999998,344158.707219383,6299855.822911156,4.467637758887238,2697.8340276189265,h3_r7
87b2c5541ffffff,5983450,8179258.980500258,6613217,9214812.442300035,346111.7491694483,6298823.336847804,4.465652855869001,2697.215293936024,h3_r7
87b2c5542ffffff,567658,808517.6067999961,605573,869782.1219000007,342065.27336663415,6298676.722880483,4.467710068679514,2698.0856403747457,h3_r7
87b2c5543ffffff,2761587,4093314.4347000523,2951738,4148284.861500032,344018.65630337433,6297644.406565458,4.465726062878219,2697.4670154258492,h3_r7
87b2c5544ffffff,318831,474124.5628000001,312849,453901.56090000016,344298.8165532623,6302067.860592585,4.469548914999263,2698.2008064044057,h3_r7
87b2c5545ffffff,804155,1149293.0769999977,848829,1203707.369800001,346252.10440781544,6301034.886975246,4.4675635482357094,2697.5820281384513,h3_r7
87b2c5546ffffff,203957,310864.83920000016,174612,255568.7974,342205.0782617058,6300888.626875909,4.469622228496264,2698.4526972031454,h3_r7
87b2c5548ffffff,673637,946524.941400001,681327,972861.0902000008,347923.6609335578,6295580.727307302,4.4617567576249,2696.229574237077,h3_r7
87b2c5549ffffff,340374,471423.35360000154,346234,486725.0439000004,349875.2824828263,6294549.364177525,4.4597714635737535,2695.610758771887,h3_r7
87b2c554affffff,920588,1285584.1792000015,992050,1404324.544199998,345831.2134671537,6294402.100919852,4.461829858218649,2696.4811264493037,h3_r7
87b2c554bffffff,425343,608121.9781000016,444925,633861.7644999998,347783.1759329124,6293370.907660774,4.4598454586263525,2695.8624194089207,h3_r7
87b2c554cffffff,1945679,2691346.453300024,2107650,2941296.7062000013,348064.20403928024,6297791.1685926,4.463667522137414,2696.596496539947,h3_r7
87b2c554dffffff,935718,1273128.6058000028,1023966,1423912.0374999968,350016.0717567033,6296759.318052286,4.4616817603957895,2695.977635819232,h3_r7
87b2c554effffff,1138238,1583938.8860999898,1182320,1676491.663099999,345971.452183119,6296612.408072169,4.463741624961356,2696.8483265854884,h3_r7
87b2c5550ffffff,581687,816059.7979999989,546657,784081.6362000002,338017.49254567735,6298530.051374927,4.4697631483632865,2698.9553177652415,h3_r7
87b2c5551ffffff,888313,1271625.2669000197,870181,1237869.0788999996,339971.8032899223,6297497.586961572,4.467780477455101,2698.336866235477,h3_r7
87b2c5552ffffff,256444,372241.2030999997,218595,314084.5124,335923.6460023853,6297350.709747392,4.469830754441124,2699.2060471803998,h3_r7
87b2c5553ffffff,615035,856477.8939000056,630139,901597.0534000008,337878.2974296559,6296318.415232796,4.467848985072581,2698.5877050251,h3_r7
87b2c5554ffffff,300152,462659.18189999944,267017,395682.6508,338156.7466136374,6300742.309349002,4.471676773123973,2699.32269705215,h3_r7
87b2c5555ffffff,229621,338020.1292999994,198560,289650.7959,340111.3034456554,6299709.357110564,4.4696936396647144,2698.7042010466103,h3_r7
87b2c5556ffffff,240366,358585.5450000007,210605,306825.2616000001,336062.59491403087,6299562.833810287,4.471745380341368,2699.573704447772,h3_r7
87b2c5558ffffff,324608,461747.65190000064,276190,393643.092,341785.83939989907,6294254.779936656,4.4638841361553325,2697.3508271892206,h3_r7
87b2c5559ffffff,134648,203076.70339999994,118615,177662.29689999993,343738.72979726404,6293223.438968222,4.4619010620093125,2696.7322922800668,h3_r7
87b2c555affffff,151867,239024.59380000032,127712,188745.11630000002,339692.979352851,6293075.912478212,4.463952544218809,2697.6014973999118,h3_r7
87b2c555bffffff,75617,115506.75790000011,64386,93304.88750000004,341646.2103637037,6292044.741530713,4.461970368850399,2696.983071557479,h3_r7
87b2c555cffffff,1494370,2114205.1664000098,1507088,2161763.7783,341925.52707343997,6296465.440476865,4.46579737033207,2697.7183502485277,h3_r7
87b2c555dffffff,295354,418314.6607000009,274859,391216.4993000001,343878.6638233316,6295433.611827419,4.463813829684407,2697.0997701908345,h3_r7
87b2c555effffff,260753,378993.7804000008,240911,346208.95990000013,339832.36191983614,6295286.438660365,4.4658667780736145,2697.9692982306588,h3_r7
87b2c5560ffffff,463218,662358.7467999958,434196,618693.9590999997,346532.9895669315,6305459.85019575,4.471383306497759,2698.3147956223693,h3_r7
87b2c5561ffffff,397011,567013.424000002,365809,519758.0138999997,348486.18180087383,6304426.219566502,4.469396581691528,2697.695864637906,h3_r7
87b2c5562ffffff,469313,677401.3262000018,468543,674236.3496,344438.9842868346,6304280.519337054,4.4714595285098255,2698.5673514090013,h3_r7
87b2c5563ffffff,404753,572679.5009000018,401212,576516.4329999997,346392.51787980966,6303247.058182233,4.469473699344167,2697.9485288236756,h3_r7
87b2c5564ffffff,948,1472.8483000000003,530,777.3059000000001,346673.51945060596,6307673.2627420295,4.473292366972015,2698.6808281721896,h3_r7
87b2c5565ffffff,60352,97157.39610000006,40967,59126.7999,348626.95714045357,6306639.144688506,4.471305181184979,2698.061853175692,h3_r7
87b2c5566ffffff,167405,247997.45009999996,152836,224456.67479999992,344579.2104018382,6306493.798871128,4.473369596700418,2698.933662271418,h3_r7
87b2c5568ffffff,3249288,4332098.248200184,3573641,4911184.721400043,350297.8240494878,6301181.089680484,4.46550074380231,2696.7106916505145,h3_r7
87b2c5569ffffff,511811,691271.4338000015,521321,720889.9363999998,352249.59648104233,6300148.582147319,4.463513622824444,2696.0916778367246,h3_r7
87b2c556affffff,1900085,2572172.843599953,2110812,2916169.379399998,348204.8052315176,6300002.231245581,4.465577749454263,2696.9631859511137,h3_r7
87b2c556bffffff,612995,830723.8745999943,601216,825809.797199999,350156.9189518823,6298969.893310409,4.463591521367197,2696.344280231977,h3_r7
87b2c556cffffff,18526,25941.951499999992,31426,43720.796,350438.7870305597,6303392.906890343,4.467409424976892,2697.0768697002786,h3_r7
87b2c556dffffff,1383061,1832463.9819999875,1422781,1937515.1625999939,352390.80518331577,6302359.912074219,4.465421839068164,2696.457811202097,h3_r7
87b2c556effffff,78497,122832.23719999996,59133,86116.20779999999,348345.46449162695,6302213.914994413,4.467487436876073,2697.3296421082923,h3_r7
87b2c5570ffffff,9937,17033.7433,7907,12325.2501,340390.48004378815,6304134.761863008,4.473518341689083,2699.4381696187193,h3_r7
