unit_id,origin_trip_count,origin_expanded_mass,destination_trip_count,destination_expanded_mass,unit_x_32719,unit_y_32719,unit_area_km2,unit_bbox_span_m,geometry_source,support_endpoint_count,support_x_32719,support_y_32719,support_bbox_span_m,representation,tile_id,partition
111,44978,64573.4019,36958,54156.2809,341630.68925506994,6298096.333372563,0.5877045864745006,1076.2260205354542,official_shapezona777,81936.0,341675.87812438974,6298343.150336849,1519.0,zona777,E22_N419,train
112,57978,84105.7204,37526,54831.9147,342357.44582922175,6298402.109703163,0.7812104167637663,1094.171451613307,official_shapezona777,95504.0,342313.3272742503,6298538.854519183,1445.0,zona777,E22_N419,train
113,21296,30337.0667,9013,13597.974400000001,338469.7551789704,6298676.86394982,0.3398270777291264,611.8918318906799,official_shapezona777,30309.0,338471.3518096935,6298875.824573559,1154.0,zona777,E22_N419,train
114,34283,42383.752700000005,21608,31109.2545,339468.3903218215,6298337.429147225,0.3754396876124729,751.1669234210858,official_shapezona777,55891.0,339749.5636148933,6298148.694369397,1072.0,zona777,E22_N419,train
115,743,1115.3053,318,446.4895,340337.4494814863,6298657.984141877,0.3936212060185721,936.8246451063314,official_shapezona777,1061.0,340317.84071630536,6298689.080113101,836.0,zona777,E22_N419,train
116,86267,118411.1874,102454,147472.3579,340280.3478586342,6298350.10020663,0.2370630929191007,946.0736308165942,official_shapezona777,188721.0,340363.9924703663,6298231.4695131965,1343.0,zona777,E22_N419,train
117,300122,404519.11130000005,286188,409162.0524,341031.19057477766,6297956.891248535,0.6577220859789755,1553.6733861510877,official_shapezona777,586310.0,339915.87718271906,6298038.982857192,2291.0,zona777,E22_N419,train
118,54555,72325.3386,38309,54566.9403,338715.5780835188,6297755.048038522,0.4048925248585091,812.147410649748,official_shapezona777,92864.0,338909.3430285148,6297936.098897312,1328.0,zona777,E22_N419,train
119,87079,121370.0852,98541,141267.5767,339474.1470233458,6297809.782997776,0.4686390962984212,821.8460538201034,official_shapezona777,185620.0,339828.2645350717,6297475.419604569,1485.0,zona777,E22_N419,train
12,20633,31047.9794,20695,30697.643500000002,343675.7443033623,6305980.478672021,0.5542379553664272,1131.6166477992665,official_shapezona777,41328.0,343674.0372144793,6305937.741966706,1142.0,zona777,E22_N420,validation
120,11062,14450.9296,8750,12503.8657,340326.9990495391,6297715.293003728,0.576774085792072,1004.1125270568882,official_shapezona777,19812.0,340205.5390167575,6297378.115334141,973.0,zona777,E22_N419,train
121,13011,17245.2878,11571,16435.9483,339516.31231357483,6297160.176102448,0.4755771240926652,904.6831838373328,official_shapezona777,24582.0,339445.03616467334,6297250.329021235,1235.0,zona777,E22_N419,train
122,3177,4501.4339,6265,9209.2856,340101.3587835446,6297038.328057304,0.1893802189822721,642.5979980221018,official_shapezona777,9442.0,340165.64732048294,6297055.285532726,1258.0,zona777,E22_N419,train
123,568201,761679.1303999998,466512,661354.9054,340758.4460974146,6297033.725902512,0.7697372593689963,1262.7705581138143,official_shapezona777,1034713.0,341382.9417297357,6296737.450839992,1999.0,zona777,E22_N419,train
124,17707,23626.7409,11368,16296.017,341202.86268220615,6297267.648728314,0.2248467056702985,584.6998911256087,official_shapezona777,29075.0,341041.90961306967,6297462.506208083,1001.0,zona777,E22_N419,train
125,18515,28410.2012,14709,21735.4925,334663.3576751795,6298953.664179927,1.1442565835548126,1394.925569443032,official_shapezona777,33224.0,334720.5298880328,6298900.199494341,1644.0,zona777,E22_N419,train
126,24845,35809.7818,26635,38515.7031,336344.6125955637,6299278.055773512,0.5307622196844417,1157.442850857624,official_shapezona777,51480.0,336490.9163558664,6299461.043104118,1679.0,zona777,E22_N419,train
127,48264,68295.01209999999,25209,36929.631199999996,336876.53699341987,6299219.258969289,0.3984361684253306,770.651433875144,official_shapezona777,73473.0,337120.7460019327,6299232.364419582,1300.0,zona777,E22_N419,train
128,13831,19630.2037,9319,13891.1889,337873.7694283911,6299286.234168989,0.2208829947560159,690.3447323423461,official_shapezona777,23150.0,338015.3304535637,6299053.019697624,987.0,zona777,E22_N419,train
129,1761,2418.982,1375,1986.7821,336317.55557965534,6298669.306304688,0.3576635204071534,856.685248285532,official_shapezona777,3136.0,336530.247130102,6298616.921237245,766.0,zona777,E22_N419,train
