unit_id,origin_trip_count,origin_expanded_mass,destination_trip_count,destination_expanded_mass,unit_x_32719,unit_y_32719,unit_area_km2,unit_bbox_span_m,representation,tile_id,partition
87b2c5181ffffff,72546,108846.6111,69255,99125.8594,360762.34407806676,6307074.839672249,4.465087232770152,2695.4424314651405,h3_r7,E24_N420,train
87b2c5182ffffff,16250,23943.706,16166,22252.879800000002,356718.524976279,6306929.6650557695,4.467163987717702,2696.3162359795533,h3_r7,E23_N420,test
87b2c5183ffffff,153045,223564.7818,159996,222033.8651,358669.5180802452,6305896.1622257605,4.465173732096058,2695.696854739217,h3_r7,E23_N420,test
87b2c5184ffffff,26197,41060.479,24474,34901.513,358953.9249111833,6310321.480666285,4.468982469237742,2696.4267507507466,h3_r7,E23_N420,test
87b2c5185ffffff,11206,18330.4035,8354,12097.6754,360904.82114662044,6309287.321781438,4.4669908633207225,2695.8072181723546,h3_r7,E24_N420,train
87b2c5186ffffff,51736,75971.1762,54321,75903.3229,356860.4546227583,6309142.501483498,4.469069094367581,2696.6813453368377,h3_r7,E23_N420,test
87b2c518affffff,69097,99378.26740000001,61349,82114.4696,360477.56083506334,6302651.7344013825,4.461278330321431,2694.712156721158,h3_r7,E24_N420,train
87b2c518effffff,50069,72016.1321,43859,59233.922399999996,360619.92396736634,6304862.977120962,4.463183054202581,2695.077410858823,h3_r7,E24_N420,train
87b2c5190ffffff,1,1.5063,0,0.0,352673.39566495223,6306784.433405615,4.469236641025253,2697.189377147588,h3_r7,E23_N420,test
87b2c5191ffffff,97940,140962.06100000002,88136,122357.7512,354625.3177130121,6305750.7819992965,4.4672477002232265,2696.570166460646,h3_r7,E23_N420,test
87b2c5192ffffff,14720,21587.1682,10052,14200.7745,350579.80787604325,6305605.344667066,4.469317562189609,2697.4428140209056,h3_r7,E23_N420,test
87b2c5193ffffff,129084,186254.0446,119717,166229.75400000002,352532.07158440433,6304571.8625847325,4.467329512704553,2696.823711094854,h3_r7,E23_N420,test
87b2c5198ffffff,680899,926454.9414999995,631271,869340.1501000001,356434.8376297568,6302505.8518654145,4.463352133053759,2695.5853154772776,h3_r7,E23_N420,test
87b2c5199ffffff,103168,148344.8273,98100,138610.7432,358385.3398230262,6301473.323042434,4.461362808289747,2694.9660235572373,h3_r7,E23_N420,test
87b2c519affffff,1121974,1476459.5038999994,1154394,1571636.7761999997,354342.2361869279,6301327.2350250725,4.4634338266608236,2695.838689525379,h3_r7,E23_N420,test
87b2c519bffffff,197145,282317.5353,176346,246904.53579999995,356293.07996962534,6300294.875649838,4.461445390457195,2695.2195050602313,h3_r7,E23_N420,test
87b2c519cffffff,346627,489263.9274,348109,483371.8321000001,356576.65263861016,6304717.448425107,4.465258333040962,2695.950892571127,h3_r7,E23_N420,test
87b2c519dffffff,74949,106463.799,70247,96610.4405,358527.4003697966,6303684.432590116,4.463268542177046,2695.331555862562,h3_r7,E23_N420,test
87b2c519effffff,273591,389487.1653,285931,395904.24130000005,354483.7481930029,6303538.698348512,4.465341035425988,2696.204544784734,h3_r7,E23_N420,test
87b2c51a2ffffff,7111,11438.8328,7995,11498.202000000001,359096.2139909609,6312535.068921956,4.470886011029135,2696.7913471508073,h3_r7,E23_N420,test
87b2c51a3ffffff,0,0.0,1,1.2864,361047.35515239206,6311500.423173973,4.468893943146904,2696.171770612942,h3_r7,E24_N420,train
87b2c51b0ffffff,13483,20036.8067,14229,19282.8541,355050.3711594267,6312390.752176217,4.472964403762883,2697.6656263559125,h3_r7,E23_N420,test
87b2c51b1ffffff,23991,36243.1829,25240,35101.704300000005,357002.44155797357,6311355.957433638,4.47097365028209,2697.0462202714407,h3_r7,E23_N420,test
87b2c51b2ffffff,5,7.3786000000000005,16,21.5362,352956.2167865358,6311211.4348817505,4.473049250864183,2697.920006268949,h3_r7,E23_N420,test
87b2c51b3ffffff,12427,18912.2995,11500,15871.737500000001,354908.6292160317,6310176.809187854,4.471059387105492,2697.300707612885,h3_r7,E23_N420,test
87b2c5400ffffff,957,1848.5604,632,957.1357,329503.9249627571,6291601.371786911,4.468104001015916,2699.5871860338375,h3_r7,E21_N419,train
87b2c5401ffffff,8513,16068.930600000002,7275,11053.7725,331459.35087426397,6290570.075682666,4.466125409058072,2698.9692183110747,h3_r7,E22_N419,train
87b2c5403ffffff,1235,2279.117,891,1343.8225,329366.01270687475,6289390.8964022985,4.4661853161185,2699.2182295113453,h3_r7,E21_N419,train
87b2c5405ffffff,282,510.493,145,222.5826,331597.569552263,6292780.685971167,4.468043099485131,2699.337897247693,h3_r7,E22_N419,train
87b2c5408ffffff,98821,151191.1857,74314,109986.84240000001,333275.7837908103,6287329.5984884575,4.462228623851895,2697.982319702278,h3_r7,E22_N419,train
87b2c5409ffffff,110333,166668.74200000003,103063,151445.354,335229.7888142301,6286299.426169645,4.460249621569685,2697.3642680475023,h3_r7,E22_N419,train
87b2c540bffffff,66734,100019.0501,58771,87255.8216,333137.4370953629,6285120.72292028,4.460310346161538,2697.613222018059,h3_r7,E22_N419,train
87b2c540cffffff,166498,260639.37910000002,136630,200279.37119999997,333414.18987102294,6289539.097480318,4.4641463765611915,2698.3511856199475,h3_r7,E22_N419,train
