tile,cpc_numerator,observed_mass,predicted_mass,full_domain_observed_mass,origins,empty_assigned_tile,cpc,legacy_mixed_support_ratio
148,249525.9979288167,183765.0,183765.0,267544.0,37,False,0.6789268846864657,0.4663270301872154
196,9462.0,4731.0,4731.0,8564.0,1,False,1.0,0.5524287716020552
320,57127.3601152806,31660.0,31660.0,55594.0,12,False,0.9022008862173184,0.5137906978745962
230,0.0,0.0,0.0,0.0,2,False,0.0,0.0
437,2943.5740487326966,1472.0,1471.9999999999998,3679.0,2,False,0.9998553154662693,0.40005083565271765
274,4574.0,2287.0,2287.0,5174.0,1,False,1.0,0.4420177812137611
161,17413.534911373816,9537.0,9537.0,17587.0,6,False,0.9129461524260153,0.4950683718477801
271,23209.328958793714,13210.0,13210.0,21387.0,9,False,0.8784757365175516,0.54260366013919
40,16955.508881282567,8802.0,8802.0,18167.0,3,False,0.9631622859169829,0.4666568195431983
143,10560.0,5280.0,5280.0,9563.0,1,False,1.0,0.5521279933075395
359,3030.0,1515.0,1515.0,3988.0,1,False,1.0,0.37988966900702104
365,4129.476398973961,2065.0,2065.0,4514.0,3,False,0.9998732200905476,0.45740766492844054
18,8844.0,4422.0,4422.0,9273.0,1,False,1.0,0.47686832740213525
349,87032.01517792129,53092.0,53092.00000000001,82107.0,13,False,0.8196339860800242,0.5299914451747189
318,82622.94301805651,45473.0,45473.00000000001,83423.0,13,False,0.9084835288858939,0.49520481772446756
31,191513.80313937407,127704.0,127704.0,198072.0,26,False,0.7498347864568614,0.4834449168468387
82,31802.905122330143,17168.0,17168.0,32065.0,6,False,0.9262262675422339,0.4959130691147691
87,5816.0,2908.0,2908.0,6746.0,1,False,1.0,0.43107026386006525
256,8763.453248471915,4382.0,4382.0,8138.0,2,False,0.9999376139287899,0.5384279459616561
166,5118.0,2559.0,2559.0,5115.0,1,False,1.0,0.5002932551319648
348,171799.49385297787,112219.0,112219.0,174543.0,27,False,0.76546526814968,0.4921408874975733
227,0.0,0.0,0.0,0.0,1,False,0.0,0.0
195,12575.35733624332,6416.0,6416.0,14407.0,2,False,0.979999792412977,0.4364321974124842
287,0.0,0.0,0.0,0.0,1,False,0.0,0.0
164,8484.411800091946,4244.0,4244.000000000001,8873.0,3,False,0.9995772620277976,0.4781027724609459
99,7808.932581972281,4008.0,4008.0,8061.0,2,False,0.9741682362739871,0.4843650032236869
191,9419.267901968085,4710.0,4710.0,6170.0,2,False,0.9999222825868456,0.7633118234982241
4,14693.4305678434,8040.0,8040.000000000001,14406.0,4,False,0.9137705577017039,0.5099760713537207
383,235388.14914621212,195854.0,195854.0,300884.0,60,False,0.6009276020561544,0.39116096094543434
358,0.0,0.0,0.0,0.0,2,False,0.0,0.0
21,37417.218061342865,19932.0,19932.0,41754.0,6,False,0.9386217655363953,0.448067467324602
58,7064.0,3532.0,3532.0,6462.0,1,False,1.0,0.546580006190034
207,6923.067992868732,3462.0,3462.0000000000005,7153.0,3,False,0.9998653946950797,0.4839275823338971
173,15439.811803379303,7916.0,7916.0,15618.0,3,False,0.9752281331088494,0.4942954220572193
177,50315.72872773568,27851.0,27851.0,49646.0,7,False,0.9033020129929927,0.5067450421759626
213,14319.997618499383,7390.0,7390.0,13362.0,2,False,0.9688766994925158,0.5358478378423658
290,10068.0,5034.0,5034.0,10521.0,1,False,1.0,0.478471628172227
98,12958.331726636776,6804.0,6804.0,12893.0,3,False,0.9522583573366238,0.5025336122949188
297,1472.0,736.0,736.0,1797.0,1,False,1.0,0.4095715080690039
5,13215.007341776696,7164.0,7164.000000000001,12407.0,2,False,0.922320445405967,0.5325625591108526
209,4513.709993063121,2257.0,2257.0,4506.0,2,False,0.999935753890811,0.5008555251956415
126,0.0,0.0,0.0,0.0,0,True,0.0,0.0
373,307365.38514575135,232798.0,232798.0,369550.0,51,False,0.6601546945114463,0.41586440961405946
56,0.0,0.0,0.0,0.0,1,False,0.0,0.0
39,18393.905434117594,9335.0,9335.0,16069.0,2,False,0.9852118604240812,0.5723413228613353
354,26241.20302940203,14196.0,14196.0,28378.0,5,False,0.9242463732531006,0.4623511704384035
202,4144.0,2072.0,2072.0,4025.0,1,False,1.0,0.5147826086956522
386,4601.656590608256,2310.0,2310.0,4195.0,5,False,0.9960295650667221,0.5484692003108768
264,0.0,0.0,0.0,0.0,2,False,0.0,0.0
189,6080.0,3040.0,3040.0,6265.0,1,False,1.0,0.4852354349561053
347,118343.8728984895,77070.0,77070.0,129146.0,17,False,0.7677687355552711,0.45817862302544987
345,300956.82635304006,190247.0,190247.0,269187.0,54,False,0.7909633958828262,0.5590106995379421
325,7953.970695137682,4013.0,4013.0,8166.0,2,False,0.9910255040041966,0.4870175541965272
178,9942.853356220538,4972.0,4972.000000000001,10273.0,2,False,0.999884689885412,0.48393134216979156
85,0.0,0.0,0.0,0.0,0,True,0.0,0.0
60,4720.0,2360.0,2360.0,4860.0,1,False,1.0,0.48559670781893005
355,105036.68131808902,89004.0,89004.0,139748.0,27,False,0.5900671953962127,0.37580745813209854
203,0.0,0.0,0.0,0.0,0,True,0.0,0.0
174,0.0,0.0,0.0,0.0,1,False,0.0,0.0
80,20090.544492978093,10550.0,10550.0,15254.0,3,False,0.9521585067762129,0.6585336466821192
356,69768.43256540435,41379.0,41379.0,70630.0,10,False,0.8430415496435916,0.49390083934167034
328,67718.95011806523,39669.0,39669.0,52684.0,10,False,0.8535500027485597,0.6426899069742733
417,4108.0,2054.0,2054.0,3421.0,1,False,1.0,0.6004092370651856
103,37595.39367779367,21668.0,21668.0,34936.0,7,False,0.8675326213262338,0.5380609353932
157,11026.924717627899,5660.0,5660.0,13026.0,3,False,0.9741099573876235,0.4232659572250844
255,49798.1026561929,29524.0,29523.999999999996,40391.0,7,False,0.8433495233740839,0.6164504797627306
342,1478285.2327633344,2103609.0,2103609.0,2922922.0,432,False,0.3513688220489964,0.2528779818215016
434,0.0,0.0,0.0,0.0,0,True,0.0,0.0
54,23986.181140190834,13074.0,13074.0,20828.0,8,False,0.9173237394902415,0.5758157561981667
210,4489.2054096872325,2245.0,2245.0,3921.0,2,False,0.9998230311107422,0.5724566959560358
293,109619.32389729703,74631.0,74631.0,114524.0,17,False,0.734408783865264,0.4785866888045171
43,34023.93044265992,17663.0,17663.0,38832.0,8,False,0.9631413248785574,0.43809139939560054
49,15390.811704881653,7727.0,7727.0,14301.0,2,False,0.995911201299447,0.5381026398462224
306,1698.0,849.0,849.0,1514.0,1,False,1.0,0.5607661822985469
146,6475.720361521303,3239.0,3239.0,7425.0,3,False,0.9996480953259189,0.43607544522028974
246,6035.695568406392,3048.0,3048.0,4720.0,2,False,0.9901075407490801,0.6393745305515246
42,50069.694395350554,27036.0,27036.0,52250.0,8,False,0.9259819203164402,0.47913583153445505
439,1960.0,980.0,980.0,2088.0,1,False,1.0,0.46934865900383144
278,15498.580406729056,8185.0,8185.000000000001,13963.0,2,False,0.9467672820237664,0.5549874814412753
17,11332.0,5666.0,5666.0,9518.0,1,False,1.0,0.5952931288085732
118,29256.20482492399,15739.0,15739.0,28714.0,4,False,0.9294175241414318,0.5094414714934177
408,26354.49220158397,14104.0,14104.0,24709.0,4,False,0.9342914138394771,0.5332974260711475
295,21180.711024358272,12644.0,12644.0,21369.0,4,False,0.837579524848081,0.4955943428414589
113,21813.4356519539,11943.0,11943.0,21634.0,3,False,0.9132309994119526,0.5041470752508528
444,0.0,0.0,0.0,0.0,1,False,0.0,0.0
270,6214.780302236015,3110.0,3110.0,6798.0,5,False,0.9991608202951793,0.4571035821003247
277,2844.836921265265,1423.0,1423.0000000000002,3203.0,2,False,0.9995913286244783,0.44408943510228926
241,22671.54412325441,14371.0,14371.000000000002,19802.0,3,False,0.788794938530875,0.5724559166562572
73,61170.60145622579,35278.0,35278.0,65936.0,6,False,0.8669794412413656,0.46386345438171706
301,24668.95093617123,14080.0,14080.0,20386.0,3,False,0.8760280872219897,0.6050463783030322
70,15254.716718811454,7713.0,7713.0,14062.0,2,False,0.9888964552581002,0.5424092134408852
399,1321463.8762686935,1396365.0,1396365.0,1865001.0,169,False,0.4731799623553632,0.3542796696271727
45,5656.0,2828.0,2828.0,4702.0,1,False,1.0,0.6014461931093151
333,2132.0,1066.0,1066.0,1474.0,1,False,1.0,0.723202170963365
240,11326.0,5663.0,5663.0,10313.0,1,False,1.0,0.5491127702899253
163,64859.14705747434,36571.0,36571.0,67467.0,10,False,0.8867565428546437,0.48067312210024415
93,129281.89500647548,81828.0,81828.0,132562.0,25,False,0.7899612296920093,0.4876280344535971
132,24737.39380246187,12894.0,12894.0,23518.0,2,False,0.9592598806600694,0.525924691777827
91,10530.860192581436,5267.0,5267.0,10701.0,4,False,0.9997019358820426,0.4920502846734621
208,5491.1535834995,2746.0,2745.9999999999995,6275.0,3,False,0.9998458819190641,0.4375421182071315
153,4156.0,2078.0,2078.0,4267.0,1,False,1.0,0.4869932036559644
235,2662.0,1331.0,1331.0,2550.0,1,False,1.0,0.5219607843137255
72,24879.475338762197,12721.0,12721.0,23352.0,3,False,0.9778899197689724,0.5327054500420134
266,14080.80786769489,7226.0,7226.0,13643.0,2,False,0.9743155181078668,0.516045146510844
169,0.0,0.0,0.0,0.0,3,False,0.0,0.0
414,66024.21958028027,36816.0,36815.99999999999,61353.0,14,False,0.8966783406709077,0.5380683876931875
296,6464.0,3232.0,3232.0,6143.0,1,False,1.0,0.526127299365131
367,0.0,0.0,0.0,0.0,1,False,0.0,0.0
377,105561.56527421593,68632.0,68632.0,113712.0,18,False,0.7690404277466483,0.4641619410186081
9,127187.68155542362,76538.0,76538.0,91664.0,12,False,0.8308793119458545,0.6937711727364266
364,0.0,0.0,0.0,0.0,2,False,0.0,0.0
319,93700.28514848373,55787.0,55787.0,96206.0,19,False,0.83980394310936,0.48697734625950423
440,0.0,0.0,0.0,0.0,1,False,0.0,0.0
117,68610.64590724252,42614.0,42614.0,61503.0,15,False,0.8050247091007946,0.5577829204042284
37,45823.25914838948,27816.0,27816.0,34522.0,6,False,0.8236852737343522,0.6636819875498158
371,2131284.8487485885,4054523.0,4054523.0,5681195.0,820,False,0.2628280624809119,0.1875736397666854
303,10428.157955623406,5215.0,5215.000000000001,9562.0,2,False,0.9998233898009019,0.5452916730612533
151,0.0,0.0,0.0,0.0,1,False,0.0,0.0
321,20503.211664051265,11302.0,11302.0,22750.0,4,False,0.9070612132388632,0.4506200365725553
22,129639.6281604716,124084.0,124084.0,190901.0,38,False,0.5223865613635585,0.33954674978253546
438,10880.0,5440.0,5440.0,8053.0,1,False,1.0,0.6755246491990563
38,4848.0,2424.0,2424.0,5166.0,1,False,1.0,0.4692218350754936
311,7476.0,3738.0,3738.0,6482.0,1,False,1.0,0.5766738660907127
253,6947.793040694768,3474.0,3474.0,4955.0,2,False,0.9999702131109338,0.70108910602369
97,17155.06372023515,8742.0,8742.0,18211.0,4,False,0.9811864401873227,0.47100828401062955
267,12639.604989601132,6888.0,6887.999999999999,11665.0,2,False,0.9175090729965978,0.5417747530904901
114,19268.8719489683,10222.0,10222.0,18344.0,3,False,0.9425196609747749,0.5252091133059392
160,15061.260492915895,7771.0,7771.0,15919.0,3,False,0.9690683626892225,0.4730592528712826
302,21266.6883717082,11426.0,11426.0,20645.0,3,False,0.9306270073388849,0.5150566328822523
110,0.0,0.0,0.0,0.0,4,False,0.0,0.0
158,20911.058075327517,11080.0,11079.999999999998,21986.0,3,False,0.9436398048432995,0.47555394513161825
10,12121.117868512043,6154.0,6154.0,13287.0,2,False,0.9848162064114432,0.45612696125957863
396,0.0,0.0,0.0,0.0,1,False,0.0,0.0
463,30912.509157608976,19326.0,19326.0,31835.0,13,False,0.7997648027943955,0.4855113736078055
402,54191.82215632027,30667.0,30667.0,48314.0,8,False,0.8835527139322442,0.560829388544938
187,0.0,0.0,0.0,0.0,2,False,0.0,0.0
422,4648.406609947303,2327.0,2327.0,4832.0,3,False,0.9987981542645687,0.4810023396054742
41,37279.567430115676,20591.0,20591.0,39313.0,6,False,0.9052393625884045,0.4741379115065713
326,10698.0,5349.0,5349.0,9432.0,1,False,1.0,0.5671119592875318
405,35184.03470911655,18601.0,18600.999999999996,32731.0,5,False,0.9457565375279973,0.5374726514484213
59,0.0,0.0,0.0,0.0,3,False,0.0,0.0
412,36004.14565173869,19676.0,19676.0,38647.0,7,False,0.9149254333131401,0.46580776841331395
138,0.0,0.0,0.0,0.0,1,False,0.0,0.0
30,37779.17801304144,21042.0,21042.0,39491.0,5,False,0.8977088207642202,0.47832642897168265
323,8320.421336637295,4310.0,4309.999999999999,9491.0,3,False,0.9652460947375052,0.438332174514661
44,10575.873325913295,5510.0,5510.0,12387.0,2,False,0.9596981239485749,0.42689405529641133
55,6302.0,3151.0,3151.0,6279.0,1,False,1.0,0.5018315018315018
360,3126.0,1563.0,1563.0,2615.0,1,False,1.0,0.5977055449330784
192,9063.779333239874,4534.0,4534.0,9092.0,4,False,0.9995345537317902,0.4984480495622456
190,22421.634591050402,14231.0,14231.0,18691.0,3,False,0.7877743865873938,0.5997976189355947
111,0.0,0.0,0.0,0.0,1,False,0.0,0.0
104,31774.036223607407,16375.0,16375.0,30251.0,6,False,0.970199579346791,0.5251733202804437
