origin,cached_area_km2,area_epsg5070_km2,cached_over_projected
36059405302,1.1066501450000503e-10,1.0384347428114125,1.065690600840217e-10
36059416201,1.445117886999976e-09,13.580873378831043,1.0640831754256166e-10
36059416500,1.533515040000239e-10,1.4415571449163949,1.063790669282956e-10
36059416701,9.97550630000391e-11,0.9377395945328689,1.0637821371905669e-10
36059416900,7.615396926500031e-09,71.57285811199829,1.0640062626230943e-10
36059517000,1.1038446305001454e-09,10.33209921413048,1.0683643348976898e-10
36059517101,3.467792959999213e-10,3.2467670295184745,1.0680756976004892e-10
36033950502,1.3131601433499849e-08,115.45309535722527,1.1373970869182114e-10
36043011502,2.150381181264998e-07,1925.194488805014,1.1169682823057317e-10
36109000500,5.822462644999921e-10,5.318742510951297,1.0947066215391071e-10
36109000800,1.4942587450000548e-10,1.3655872964375968,1.0942242571369277e-10
36107020102,1.4255580207000012e-08,130.71852559752259,1.090555461962018e-10
36107020101,1.9383236718000056e-08,177.4213254645428,1.0924975713741776e-10
36019103512,7.911864258899973e-08,695.1570345273919,1.1381405734143103e-10
36019104200,4.7580662539999795e-08,417.54096688188883,1.1395447707879426e-10
36019103800,8.189532963099993e-08,722.8080203757427,1.1330163379818014e-10
36055014602,5.7807511874999575e-09,52.30279346867291,1.1052471204931674e-10
36059407501,1.6383741150000378e-10,1.537824737696246,1.0653841590911205e-10
36059407502,1.409009820000132e-10,1.3225220192691598,1.0653961139934489e-10
36059407600,2.1490427949997528e-10,2.0155622128395954,1.0662249874054273e-10
36059414001,1.5120992050002201e-10,1.4194483979627157,1.0652724024138411e-10
36059302800,2.3553114649998125e-10,2.208937432482487,1.0662644538341789e-10
36059416702,1.2758247800001048e-10,1.199495025699131,1.0636349069113351e-10
36059410100,2.150569010000084e-10,2.0190454660899504,1.0651414473418668e-10
36059520402,1.4045662849998363e-10,1.3176478810868564,1.0659648189479011e-10
36059406300,1.5142480999999667e-10,1.4206626195722118,1.0658745286449046e-10
36059404600,1.0942555799996168e-10,1.0267209130081947,1.0657770443124139e-10
36059517801,2.7641939724999287e-09,25.872681731377366,1.0683832473182026e-10
36059407802,5.505957449998208e-11,0.5165074449937196,1.065997693424372e-10
36059407700,6.342687710000456e-10,5.949580328529846,1.0660731278113102e-10
36059407801,2.1569940250004838e-10,2.0232885988252542,1.0660832202844718e-10
36059407900,2.0653602099997512e-10,1.9381875106166317,1.0656142394306626e-10
36059408000,2.0454042599999726e-10,1.9192516564340352,1.0657301001372216e-10
36063022100,1.9301284499997704e-10,1.7459700574160568,1.1054762604899756e-10
36059517901,5.822936954999557e-10,5.448230594014491,1.0687757895924458e-10
36067010301,9.827737605000188e-10,8.878994693532198,1.1068525147513705e-10
36067010321,3.8214368499998114e-10,3.451500109861909,1.107181436581992e-10
36067010322,5.228132560000186e-10,4.721639249561195,1.1072706498036801e-10
36059518300,4.5941364950004603e-10,4.303476528695584,1.0675407346517997e-10
36083052503,2.648567214999634e-10,2.417083180314273,1.0957699911077378e-10
36083052602,1.9824397349998104e-10,1.809749552183434,1.0954221442453342e-10
36083052603,1.6490658271000107e-08,150.43946550808246,1.0961657046112102e-10
36059405400,1.7539341650003268e-10,1.6461508680316685,1.0654759530622711e-10
36059405500,1.331079964999895e-10,1.2492082693145912,1.065538867854457e-10
36059405600,1.126843464999876e-10,1.0576435426388227,1.0654283977268933e-10
36059405700,1.61295970500005e-10,1.514088608827364,1.0653007331250316e-10
36111955300,2.7159319745500274e-08,249.72238563375893,1.0875805017068809e-10
36093033500,2.9224581400001357e-10,2.6554328340036153,1.1005581096148173e-10
36059405900,1.9439150549998655e-10,1.8246907151521174,1.065339478552566e-10
36059406001,1.4127480799999248e-10,1.3258869851907633,1.0655116882353772e-10
36059406002,9.591138850001912e-11,0.9002092000611841,1.0654344400557154e-10
36059406100,9.898176599998916e-11,0.9288614966894182,1.0656245990685683e-10
36059517102,1.676287885000165e-10,1.5690995063298654,1.0683120339009054e-10
36059517301,2.627223430000116e-10,2.4596004653587378,1.0681504850085195e-10
36037951200,1.870410326000037e-09,16.948423969946575,1.103589530989254e-10
36037951400,2.3741717207000014e-08,215.36753427966912,1.1023814376854874e-10
36037950700,2.9797604699992166e-10,2.6995266725045153,1.1038084936700074e-10
36067011900,8.792425258500086e-09,79.4958791375307,1.1060227717324665e-10
36059517302,2.6053289200003243e-10,2.4393759726683557,1.0680309018336513e-10
36059517400,5.4244708000002e-10,5.079973289745468,1.0678148270878e-10
36059517500,3.386977595000392e-10,3.1727496026907773,1.0675212415527308e-10
36037951000,3.5040649700005456e-10,3.1747629642739446,1.1037249109405279e-10
36027110003,6.161942488500029e-09,57.087476783549285,1.0793860292448056e-10
36059408100,2.4070646999997966e-10,2.2588956328170524,1.0655935869856739e-10
36027170000,1.4128507228500037e-08,130.242075982962,1.084788239274403e-10
36027180001,1.043802871850006e-08,96.51488948716131,1.081494137740121e-10
36059408200,2.2646961199999227e-10,2.1248814012971033,1.0657988340513835e-10
36059408300,2.3446274850003843e-10,2.200044111286683,1.0657183976321013e-10
36059408400,1.55323354500023e-10,1.457890163217114,1.0653981926681792e-10
36059408500,2.2692665349999347e-10,2.1297754102100286,1.0654956969271e-10
36059408600,1.5613327899998048e-10,1.4645524399967946,1.0660818604782919e-10
36059408700,1.457246595000936e-10,1.3668640900280045,1.0661239882094493e-10
36059409000,2.503497865000051e-10,2.348685437085428,1.065914500711826e-10
36059517902,3.0651023029999893e-09,28.67482935506192,1.068917364789448e-10
36059302600,5.0770834000007496e-11,0.47627421124051594,1.0660000647057603e-10
36059414100,1.8987930299997135e-10,1.7828959450859188,1.0650049629835293e-10
36059517701,3.9829031874999615e-09,37.306510294274815,1.0676161227846582e-10
36059520900,1.8522603299999048e-10,1.738452255268419,1.0654651713250036e-10
36027210101,3.8467056400001056e-10,3.566568949949608,1.0785451491283957e-10
36109002100,9.647187692999942e-09,88.05701454306934,1.0955615226179886e-10
36109000300,4.3727846500000734e-10,3.996052259059035,1.0942761421818216e-10
36109001100,1.98038018249989e-09,18.108273647663534,1.0936327896477385e-10
36109001800,1.80917627940002e-08,165.63585339836985,1.0922612721104412e-10
36109000700,1.8525262799999904e-10,1.692827742047739,1.0943383275129171e-10
36109001400,5.842883898500072e-09,53.396030740503186,1.0942543513946989e-10
36109002200,8.721119272500082e-09,79.52167497420774,1.0966971301005307e-10
36109001700,1.3127771327499988e-08,119.98896243697996,1.0940815772446482e-10
36059518000,4.5211527700001036e-10,4.232643313094446,1.0681629505640369e-10
36059518100,2.9097931900004166e-10,2.724883125600505,1.0678598148532192e-10
36059518203,7.305539324999742e-10,6.843592232436548,1.0675006746272381e-10
36059518204,6.58148569999982e-10,6.167094535890821,1.0671939049575703e-10
36059518400,3.324633925000478e-10,3.114570225991158,1.0674454848557704e-10
36059518501,7.213348759999453e-10,6.761358453088683,1.0668490378149222e-10
36059518502,1.266746699999972e-10,1.1874204858077886,1.066805495728178e-10
36063022200,4.01634330999993e-10,3.6338736172208246,1.1052512368527602e-10
36059404901,1.2146936049998166e-10,1.1399876457106428,1.065532253415434e-10
36059416300,6.370219975001388e-10,5.9886668541370955,1.0637125307113564e-10
36059410600,1.7519967399995888e-10,1.6450183597410961,1.0650317241901966e-10
36109001000,3.433542447499972e-09,31.39461687292221,1.0936723519825448e-10
36109001500,5.246794656000022e-09,47.90278145916974,1.0953006268481848e-10
36109000100,5.6593051500043145e-11,0.5172375246930161,1.0941404828203735e-10
36109000600,1.4412112505000175e-09,13.16424066767246,1.0947925420713497e-10
36089490800,9.2004943750001e-09,81.1283795895867,1.1340660840933445e-10
36059518600,2.8546798450001747e-10,2.6755067481428507,1.0669679106515779e-10
36059518700,3.944361759999615e-10,3.6962156713918946,1.0671351757226535e-10
36059518800,1.889652060000477e-10,1.7710291147182882,1.0669796697842868e-10
36059520600,2.0514933449999214e-10,1.9249769153732836,1.0657236087436946e-10
36059520700,1.7832889749998386e-10,1.6733275415798081,1.0657142314864516e-10
36059520800,1.7070828849999342e-10,1.6019642897671151,1.065618563350186e-10
36059521000,2.9478657350002166e-10,2.766767947400304,1.0654546355324358e-10
36059521100,1.6674088249996075e-10,1.5651789809336247,1.0653151143168323e-10
36063022300,1.4068373950001987e-10,1.2726543671981008,1.1054355615008949e-10
