origin,tile,cpc,cpc_numerator,observed_mass,predicted_mass,full_domain_observed_mass,destination_count,l1_error
36111954700,295,0.7134779026815118,2968.0680751550885,2080.0,2079.9999999999995,3128.0,4,1191.931924844911
36111954800,295,0.8762463297572081,10318.676779220881,5888.0,5888.0,8906.0,4,1457.3232207791184
36117021000,113,0.903702641899895,11251.097891653693,6225.0,6225.0,11804.0,3,1198.9021083463065
36117021400,113,0.9366801969702928,6459.346638307139,3448.0,3447.9999999999995,5744.0,3,436.6533616928607
36117021800,113,0.9219135038483663,4185.487307471583,2270.0,2270.0,4086.0,3,354.5126925284168
36019101902,444,0.0,0.0,0.0,0.0,0.0,1,0.0
36105951600,270,0.9990867004519745,6214.319276811281,3110.0,3110.0,6798.0,5,5.6807231887189005
36105951701,270,0.0,0.0,0.0,0.0,0.0,5,0.0
36105951702,270,0.0,0.0,0.0,0.0,0.0,5,0.0
36105951801,270,0.0,0.0,0.0,0.0,0.0,5,0.0
36105951802,270,0.0,0.0,0.0,0.0,0.0,5,0.0
36077590101,277,0.0,0.0,0.0,0.0,0.0,2,0.0
36077590600,277,0.9998249590287533,2845.501833395832,1423.0,1423.0,3203.0,2,0.498166604168066
36089491900,241,0.6707656107654014,2935.2703127093964,2188.0,2188.0,2573.0,3,1440.7296872906036
36089492000,241,0.8242652845595748,9938.990801219354,6029.0,6029.0,8813.0,3,2119.0091987806463
36089492100,241,0.7725988008936259,9509.146041398746,6154.0,6153.999999999999,8416.0,3,2798.853958601253
36055014501,73,0.8742367175331812,8522.05952251345,4874.0,4873.999999999998,9193.0,6,1225.9404774865495
36055014505,73,0.8754811116038211,11624.638199875537,6639.0,6639.0,11910.0,6,1653.3618001244627
36055014601,73,0.8373977441409528,11279.747613578633,6735.0,6734.999999999999,12159.0,6,2190.252386421366
36055014700,73,0.9565491171215058,8962.865227428509,4685.0,4684.999999999999,9150.0,6,407.1347725714909
36055014905,73,0.9173907717362878,11087.584867204772,6043.0,6042.999999999998,11984.0,6,998.4151327952259
36055015000,73,0.9505709958030913,11980.996831102162,6302.0,6302.0,11540.0,6,623.0031688978372
36095740200,301,0.9524627380462121,12928.72920623928,6787.0,6786.999999999999,9475.0,3,645.2707937607181
36095740300,301,0.9237269795856188,2246.5040143522247,1216.0,1216.0,1577.0,3,185.49598564777517
36095740400,301,0.7834754167564633,9522.360215258053,6077.0,6077.0,9334.0,3,2631.6397847419457
36051031200,70,0.9867186581203259,6934.6587292696495,3514.0,3513.9999999999995,5954.0,2,93.34127073034996
36051031300,70,0.9991756279013249,8391.076923115326,4199.0,4199.0,8108.0,2,6.923076884673733
36059300902,399,0.0,0.0,0.0,0.0,0.0,169,0.0
36059301400,399,0.43255518937497095,2097.8926684686094,2425.0,2425.0,4594.0,169,2752.1073315313906
36059301600,399,0.396855008854348,5548.033023783784,6990.0,6990.0,11680.0,169,8431.966976216216
36059301700,399,0.3932482027232471,2605.662591244236,3313.0,3313.0,6408.0,169,4020.3374087557645
36059301900,399,0.43250636960340816,2741.2253705464,3169.0,3169.0,5845.0,169,3596.774629453599
36059302000,399,0.5492738950269169,9629.869927611908,8766.0,8766.0,11882.0,169,7902.130072388092
36059302101,399,0.5047859859785677,9659.584627685876,9568.0,9568.000000000002,12387.0,169,9476.415372314128
36059302102,399,0.44244922841249357,6693.371927424205,7564.0,7564.000000000001,9537.0,169,8434.628072575797
36059302200,399,0.4875249961922997,6702.493647651738,6874.0,6874.0,9420.0,169,7045.506352348263
36059302300,399,0.5200732874408065,7597.230582935302,7304.0,7304.0,10473.0,169,7010.769417064698
36059302400,399,0.5059732431153159,8406.239461117859,8307.0,8307.0,11437.0,169,8207.760538882141
36059302501,399,0.41255541845712096,3669.267891757633,4447.0,4447.0,5920.0,169,5224.732108242366
36059302502,399,0.4833216300327342,4377.927324836504,4529.0,4529.0,6179.0,169,4680.072675163494
36059302700,399,0.3525430610782635,4360.957665538119,6185.0,6185.0,10029.0,169,8009.042334461881
36059302800,399,0.545123289334865,10531.781949949593,9660.0,9660.0,14575.0,169,8788.21805005041
36059302900,399,0.48142163281142714,7520.7687477801155,7811.0,7810.999999999998,10921.0,169,8101.2312522198845
36059303000,399,0.3729269172828146,6647.049373648887,8912.0,8911.999999999998,13574.0,169,11176.950626351114
36059303101,399,0.36912879286156874,4304.779982351613,5831.0,5831.0,8948.0,169,7357.220017648386
36059303102,399,0.507685421102485,7059.873465851157,6953.0,6953.0,9783.0,169,6846.126534148843
36059303203,399,0.0,0.0,0.0,0.0,0.0,169,0.0
36059303204,399,0.0,0.0,0.0,0.0,0.0,169,0.0
36059303301,399,0.486401585319044,5849.465465046823,6013.0,6013.0,8198.0,169,6176.534534953177
36059303302,399,0.5260516347037479,7690.874899368794,7310.0,7310.0,9631.0,169,6929.125100631205
36059303400,399,0.5031023276293486,5217.171137516346,5185.0,5185.0,6651.0,169,5152.828862483655
36059303500,399,0.5439216999448666,10249.660513761064,9422.0,9422.000000000002,12472.0,169,8594.339486238934
36059303600,399,0.6712985460818266,14005.972865451231,10432.0,10431.999999999998,14068.0,169,6858.027134548771
36059303700,399,0.5273965390890251,12518.284251817098,11868.0,11868.000000000002,15595.0,169,11217.715748182902
36059303800,399,0.439690287776739,7281.271165582798,8280.0,8280.0,10288.0,169,9278.728834417201
36059303900,399,0.5575526339196115,8259.584718885126,7407.0,7407.0,9953.0,169,6554.415281114874
36059304001,399,0.4382460618418972,3823.2586435087105,4362.0,4362.0,5824.0,169,4900.741356491289
36059304002,399,0.4741896328202334,7449.519131605867,7855.0,7855.0,9736.0,169,8260.480868394134
36059304100,399,0.47981421100523014,5795.19604052117,6039.0,6038.999999999999,8167.0,169,6282.80395947883
36059304202,399,0.44254205085245923,4960.896390056068,5605.0,5605.0,7095.0,169,6249.1036099439325
36059304203,399,0.5678904222324048,11421.412171938127,10056.0,10055.999999999998,12295.0,169,8690.587828061874
36059304204,399,0.4763693337084107,8188.788846447582,8595.0,8595.000000000002,10457.0,169,9001.21115355242
36059404500,399,0.4492256791686283,4913.630478746456,5469.0,5469.0,8768.0,169,6024.369521253543
36059404700,399,0.466650925133444,8958.764460711858,9599.0,9599.000000000002,13488.0,169,10239.235539288142
36059405200,399,0.4461242104555937,9845.069076334043,11034.0,11034.0,19550.0,169,12222.930923665957
36059405301,399,0.44217840340649883,5549.33896275156,6275.0,6275.0,8794.0,169,7000.66103724844
36059405302,399,0.48774913792954855,7222.589234460756,7404.0,7404.0,9380.0,169,7585.4107655392445
36059405400,399,0.5499079212553704,16474.141504968386,14979.0,14979.0,22387.0,169,13483.858495031613
36059405500,399,0.5831908827601815,11919.255261852588,10219.0,10219.0,13701.0,169,8518.744738147412
36059405600,399,0.4400024810113706,7957.004866609626,9042.0,9042.000000000002,11306.0,169,10126.995133390374
36059405700,399,0.503408726564407,10310.817537492187,10241.0,10241.0,13013.0,169,10171.182462507815
36059405800,399,0.5264186507304491,9171.265733025883,8711.0,8711.0,10522.0,169,8250.734266974116
36059405900,399,0.6191045958309024,11207.031393730995,9051.0,9051.0,12293.0,169,6894.968606269005
36059406001,399,0.5598663722265487,9131.42053101501,8155.0,8155.0,11151.0,169,7178.579468984991
36059406002,399,0.5184748151497632,6729.803100643928,6490.0,6490.000000000001,8813.0,169,6250.196899356073
36059406100,399,0.561648438346859,6818.412041530867,6070.0,6070.0,7700.0,169,5321.587958469132
36059406201,399,0.4260116673260105,4006.2137195338028,4702.0,4702.0,6366.0,169,5397.786280466197
36059406202,399,0.4763893734322344,10927.419447788594,11469.0,11469.0,14750.0,169,12010.580552211408
36059406300,399,0.4262568318274662,5129.574714211728,6017.0,6017.000000000002,7671.0,169,6904.425285788273
36059406400,399,0.5473928227852936,12454.281504010998,11376.0,11376.000000000002,14486.0,169,10297.718495989002
36059406501,399,0.5048578761086113,13412.054336701369,13283.0,13282.999999999998,15804.0,169,13153.945663298631
36059406600,399,0.5010349349786314,8048.625195496735,8032.0,8032.0,9604.0,169,8015.374804503266
36059406701,399,0.5608842266700818,5504.517800540182,4907.0,4906.999999999998,6051.0,169,4309.482199459817
36059406702,399,0.5006801844065618,8512.564495280361,8501.0,8501.0,10169.0,169,8489.435504719637
36059406801,399,0.5961562880869642,9223.73008928151,7736.0,7736.0,9559.0,169,6248.269910718491
36059406802,399,0.6090979493389522,9928.296574224923,8150.0,8150.0,9741.0,169,6371.703425775078
36059406900,399,0.4687192657328906,12280.444762201732,13100.0,13100.0,15888.0,169,13919.555237798266
36059407000,399,0.4687354388576165,13190.215249453331,14070.0,14070.000000000002,18432.0,169,14949.78475054667
36059407101,399,0.4866017918993919,8145.713996395818,8370.0,8370.0,10447.0,169,8594.28600360418
36059407102,399,0.5330398500926457,12814.277996227202,12020.0,12020.0,15439.0,169,11225.722003772797
36059407201,399,0.4689943444831558,7590.204471115395,8092.0,8092.0,9936.0,169,8593.795528884606
36059407203,399,0.5725903617718493,7062.329522093988,6167.0,6167.0,7735.0,169,5271.670477906011
36059407204,399,0.593827288182114,6439.463113046844,5422.0,5422.0,6432.0,169,4404.536886953156
36059407301,399,0.47301582346994975,9739.395805246268,10295.0,10295.0,12552.0,169,10850.604194753734
36059407302,399,0.5500313349560074,10508.898685669476,9553.0,9553.0,11729.0,169,8597.101314330523
36059407401,399,0.4995989534734676,10469.595668989987,10478.0,10478.000000000002,12857.0,169,10486.404331010013
36059407402,399,0.48706372137120435,6098.037791567478,6260.0,6260.0,7673.0,169,6421.962208432522
36059407501,399,0.5371127772159692,10723.99370989404,9983.0,9983.0,13188.0,169,9242.006290105961
36059407502,399,0.49969645093757886,9435.268386603368,9441.0,9441.0,12226.0,169,9446.731613396636
36059407600,399,0.48527299571494364,10426.575585931281,10743.0,10743.000000000002,12858.0,169,11059.42441406872
36059407700,399,0.565264414067095,11005.69814188634,9735.0,9735.0,12033.0,169,8464.30185811366
36059407801,399,0.4651755856372084,10164.086546173003,10925.0,10925.0,13536.0,169,11685.913453826997
36059407802,399,0.357280172692062,2157.2576827146704,3019.0,3019.0,3851.0,169,3880.7423172853296
36059407900,399,0.4789658148099589,11268.149759219094,11763.0,11763.0,14244.0,169,12257.850240780906
36059408000,399,0.46443742984842984,10989.518465073546,11831.0,11831.0,14860.0,169,12672.481534926454
36059408100,399,0.5406366210605731,14246.856238188222,13176.0,13175.999999999998,16195.0,169,12105.143761811778
36059408200,399,0.381449725300123,7883.040023052343,10333.0,10332.999999999998,12596.0,169,12782.959976947657
36059408300,399,0.49150754507134387,12371.244909445726,12585.0,12585.0,16084.0,169,12798.755090554274
36059408400,399,0.46773563660614526,7590.413910844524,8114.0,8114.0,10272.0,169,8637.586089155475
36059408500,399,0.5216753901103193,12719.489361669806,12191.0,12190.999999999998,15385.0,169,11662.510638330194
36059408600,399,0.45073262379092194,8631.529745596155,9575.0,9575.0,12386.0,169,10518.470254403845
36059408700,399,0.5268817195596036,8853.720415479576,8402.0,8402.0,10788.0,169,7950.279584520422
36059408800,399,0.5670822105922442,15872.631074476918,13995.0,13995.0,17890.0,169,12117.368925523084
36059408900,399,0.5427433539126311,12638.321739209528,11643.0,11643.0,14119.0,169,10647.678260790473
36059409000,399,0.574063650195103,11104.68724937407,9672.0,9671.999999999998,12514.0,169,8239.312750625928
36059409100,399,0.5432266366896934,10994.907126599397,10120.0,10120.0,12179.0,169,9245.092873400605
36059409200,399,0.5527585116513627,11768.228713057511,10645.0,10645.0,12976.0,169,9521.771286942487
36059409300,399,0.6209929473801328,11456.07789326869,9224.0,9224.0,11512.0,169,6991.92210673131
36059409400,399,0.42636815767086644,7029.105447361905,8243.0,8243.0,10391.0,169,9456.894552638096
36059409500,399,0.5393236626614644,8155.652426766665,7561.0,7561.0,9366.0,169,6966.347573233336
36059409600,399,0.536277322771229,10978.669351772598,10236.0,10235.999999999998,12976.0,169,9493.330648227402
36059409700,399,0.49561025260598957,8033.842194743091,8105.0,8105.000000000001,10106.0,169,8176.157805256909
36059410000,399,0.4824295320397982,5224.711831991013,5415.0,5414.999999999998,9138.0,169,5605.288168008985
36059410100,399,0.5731221123294503,12279.714378770803,10713.0,10713.0,14176.0,169,9146.285621229197
36059410200,399,0.5661784384452435,7355.790272280605,6496.0,6496.0,8411.0,169,5636.209727719395
36059410600,399,0.4769230566479389,9875.168810952222,10353.0,10353.0,18164.0,169,10830.831189047778
36059410700,399,0.49699023320671454,7990.608969497558,8039.0,8039.000000000002,15414.0,169,8087.391030502444
36059411800,399,0.5587443974624888,10366.94355051902,9277.0,9277.0,13370.0,169,8187.056449480982
36059411901,399,0.5809398270015436,6478.640950721215,5576.0,5576.0,8489.0,169,4673.359049278786
36059411902,399,0.4429956433701532,5138.749463093776,5800.0,5800.0,9579.0,169,6461.250536906224
36059412000,399,0.6286007748210104,12036.447636272707,9574.0,9574.0,13797.0,169,7111.552363727293
36059412301,399,0.5726910578249129,5992.639229079888,5232.0,5232.0,6693.0,169,4471.3607709201115
36059412302,399,0.48552380432130704,5495.158417308553,5659.0,5659.0,8669.0,169,5822.841582691447
36059412400,399,0.5480418413776424,8774.149880456056,8005.0,8005.0,11161.0,169,7235.850119543944
36059412500,399,0.412604332374514,6118.097040449293,7414.0,7414.0,9301.0,169,8709.902959550707
36059412600,399,0.4819196311844506,7492.886425655838,7774.0,7773.999999999999,9391.0,169,8055.113574344162
36059412700,399,0.4546927024476156,6132.895170613439,6744.0,6744.0,8859.0,169,7355.104829386561
