zone_id,origin_trip_count,origin_expanded_mass,destination_trip_count,destination_expanded_mass
21,13545,21104.900399999995,14383,21309.3414
820,13256,20845.571799999998,10295,15382.983299999998
692,13380,20655.3661,10693,15815.2064
398,14119,20568.173500000004,11544,17614.2992
250,13999,20221.691200000005,12024,16903.9545
691,12828,20207.0697,6312,9522.849900000001
609,13071,20203.9524,6664,9729.698999999999
347,10726,20088.4715,12075,17987.7462
26,13317,19928.114,7043,10628.6718
66,12091,19912.700699999998,10997,16496.1774
65,12420,19884.8244,13037,19490.510800000004
22,12429,19842.1764,6964,10723.8036
323,13194,19775.9922,8703,12665.604000000001
255,14079,19703.2686,15557,21694.0739
128,13841,19644.8028,9322,13896.284800000001
813,12742,19612.688299999998,6555,9541.7273
763,12826,19578.5503,22720,32504.0714
697,11847,19550.097299999998,12681,18541.1784
335,13048,19539.722700000002,11571,17356.6301
57,10921,19369.5005,7922,12519.9997
680,11542,19188.6038,10441,17120.477100000004
804,11639,19162.1253,7849,11697.5863
254,13127,19121.4422,10390,14535.768600000001
94,11973,19037.0436,15954,23347.7072
87,12848,18890.7619,9836,14282.984200000003
601,11161,18764.2274,10137,14989.505400000002
428,12058,18759.359600000003,14217,21597.0325
9,12481,18675.9075,12301,18160.7031
641,11629,18659.2221,11825,16923.4291
618,12590,18504.043599999997,16234,23579.3649
260,12403,18150.3806,32850,45899.56
843,12113,18086.1243,8627,13140.377299999998
521,11129,18054.5186,6153,9346.2351
604,10849,18030.4557,11533,17268.298600000002
315,11571,17997.770000000004,13176,18826.0308
790,10654,17913.980600000003,5177,7890.5062
154,11609,17911.864799999996,12249,17948.6637
327,11693,17839.5386,7891,11291.2354
699,11781,17786.0572,9589,14556.603599999999
373,11951,17737.938400000003,16019,23311.274299999997
687,12508,17494.365800000003,11603,17139.419100000003
835,9592,17429.831299999998,15659,24089.178200000002
45,10960,17363.5,10790,15834.0805
121,13011,17245.287800000002,11572,16437.7766
846,11311,17222.1842,6627,9932.631700000002
83,11365,17199.6194,12138,17509.869199999997
49,10923,17128.256,13653,20170.439200000004
643,11259,17032.3131,8961,12840.4791
793,9668,17030.4849,14984,22716.197500000002
47,10447,16974.737100000002,6888,9936.9021
509,9675,16734.356200000002,7399,11123.251499999997
534,10353,16683.0304,8080,13705.265899999999
351,10930,16624.0104,11022,16472.8671
555,9864,16464.349800000004,1787,2845.829799999999
438,11119,16158.988000000001,6985,11040.0032
503,9628,16017.0623,5031,7896.273400000001
500,9017,15781.1987,9810,15009.5336
480,11328,15684.246799999999,5952,8479.005699999998
414,11217,15606.9752,8441,12006.0936
263,9010,15344.906500000001,7976,11645.6576
334,9508,15051.0379,9814,14582.1664
616,9529,14987.162199999999,26140,36634.7928
682,10281,14829.9939,16871,24070.496300000006
142,9782,14800.035500000002,14648,21629.186
146,9665,14710.7573,24878,35958.6977
464,10627,14606.871700000002,3454,5227.4119
51,9015,14556.1709,6662,9841.8086
332,9557,14505.5233,5259,7788.9903
120,11062,14450.9296,8751,12505.915499999997
63,8513,14449.7145,10530,15463.4657
549,8175,14407.6446,8271,12219.7106
345,8096,14326.1614,1680,2607.9832
768,11083,13789.952800000006,11006,15289.890199999998
805,8605,13750.0248,6636,10058.281199999998
325,8831,13725.555499999999,6321,9434.7908
311,9274,13721.428400000003,8354,12089.2922
672,8431,13641.222399999999,4985,7733.5645
615,8999,13569.692700000001,7638,11291.766
61,7497,13525.0437,7347,11968.9091
173,8698,13455.045399999997,11766,17414.5406
647,8436,13262.145199999999,7775,10784.408000000001
558,8458,13192.532199999996,6089,9214.191200000003
759,8873,13120.43,12431,17367.455800000003
698,8157,13108.485600000002,10620,15315.835000000003
678,7631,13103.3419,11393,18344.9968
636,7273,13041.208699999997,3755,5740.414500000001
54,8252,12781.684,8371,12091.436699999998
330,8404,12735.2766,6163,9041.6587
31,8168,12682.856000000002,5346,7708.9006
95,7635,12262.0092,11342,16394.4464
212,7205,12195.875600000001,65102,89931.059
93,7879,12145.4506,4397,6520.572499999999
393,7211,12128.435800000001,13345,19910.7206
14,7811,12010.5656,7288,10572.5942
547,8156,11977.4188,6137,8642.1732
513,7254,11913.1743,4144,6342.450499999999
425,7110,11668.634900000001,8002,11917.3214
436,6724,11449.6512,10662,16719.4795
2,7569,11382.8547,12166,17960.191200000005
331,6663,11193.2509,4932,7361.338400000001
640,7348,11181.9331,6612,9312.9133
317,7271,10970.419100000001,12539,17904.790900000004
420,6816,10712.6231,3549,5537.957699999999
415,6374,10704.919899999999,6894,9836.6156
318,7189,10497.9857,5202,7736.773700000001
667,6723,10482.778,1897,3089.4439
423,5899,10473.762400000001,6627,10001.6582
408,7247,10303.6905,4083,5894.2415
839,6543,10271.501,6737,9855.96
378,6858,10069.3356,6151,9235.069500000001
209,6049,9927.3376,41452,57470.518500000006
602,5527,9610.1837,4762,7235.7896
600,5788,9450.254700000001,2332,3495.526999999999
538,6077,9377.878599999998,6594,9277.2312
514,5550,9283.693500000001,2854,4430.7657
392,5877,9271.6348,3853,5886.383599999999
396,6367,9162.4885,8670,13109.5348
721,5886,9159.6113,7723,11271.2607
800,5452,8978.6399,6708,10643.3135
676,5580,8913.416899999998,4642,7175.583199999999
52,5462,8734.5644,7161,10418.4955
845,5674,8678.6565,11077,16267.2859
402,5613,8567.426,3161,4594.1836
302,5624,8551.6865,6117,8805.3313
427,5406,8510.3569,1095,1778.542799999999
733,6112,8483.965,5704,7918.5367
679,5834,8321.236400000002,3867,6194.5711
789,4676,8134.5597,8140,12230.4853
841,5304,7736.8172,11444,16586.085900000002
675,4634,7726.1296,3055,4972.660700000001
517,4645,7707.7419,932,1498.6845
24,5222,7576.3673,3153,4569.4989000000005
508,4341,7536.3143,4178,6381.702299999999
203,4402,7530.7728,7349,10835.718999999997
742,4830,7495.9546,441,668.134
262,5149,7489.4205,4008,5899.1741
502,4138,7004.8987,3220,4912.955499999999
28,4279,6921.798900000002,4032,6079.576200000001
617,4694,6827.3236,5947,8531.467900000001
770,3972,6218.507200000001,4139,5914.018099999999
140,3956,5939.4831,440,708.8811000000001
357,3629,5901.3285000000005,6017,8691.856099999999
510,3246,5789.9144,3663,6020.746699999999
764,4052,5718.8945,3308,4638.7838
362,3287,5650.029500000001,3761,5372.4825
830,3443,5528.2618999999995,3886,5595.8962
355,3603,5502.5767000000005,3253,4860.299099999999
842,3848,5406.1633999999995,998,1483.1299
511,2393,5017.842900000001,1271,2050.3761999999997
840,2807,4706.8683,2264,3333.5269000000003
635,2739,4506.5964,4919,7291.777799999999
122,3177,4501.4339,6266,9211.093200000001
515,2558,4420.0471,2204,3290.2453999999993
131,3011,4268.9505,2455,3913.0929000000006
690,2719,4187.802199999999,4234,6117.1467999999995
563,1969,4172.8817,7324,10522.746000000003
74,2516,3931.0831,4885,7005.9347
815,2227,3756.312,24795,35781.0542
638,2177,3575.7387,1246,1831.601
599,1990,3422.4037000000003,1635,2422.5166
561,2000,3397.719,2018,3288.4565000000002
828,1592,3349.0897000000004,36610,52035.312
244,2125,3194.9615999999996,3116,4412.9839999999995
382,1612,3149.1874,6465,9395.1276
516,1919,3091.4791999999998,519,854.6296
413,1969,3031.6627,4611,6645.719700000001
674,1590,2802.7594,1642,2535.0844
664,1266,2757.6479000000004,1777,2696.1865000000003
751,1675,2604.9886,510,810.3561
368,1611,2534.7797,1769,2537.9794
129,1762,2420.411,1376,1989.0137000000002
832,1582,2407.7034,947,1411.4071000000001
98,1537,2249.1636,955,1374.7930999999999
520,1143,2238.7131,6690,10121.402199999999
670,1283,2091.928,748,1170.2485
852,1230,2031.764,620,1045.0951
553,1084,1910.1066000000003,2631,3877.6991
548,1224,1885.5402000000001,2436,3461.5922000000005
324,1225,1871.6847,3161,4287.435900000001
851,969,1838.9804999999994,4843,7319.360999999999
714,1198,1581.0085,204,310.3081
715,1066,1474.3264,1179,1756.791
787,601,1286.9634,10064,14971.539300000002
802,690,1261.5697,2830,4194.2325
115,743,1115.3053,318,446.4895
512,616,1070.9809,2708,4145.586199999999
671,408,924.6969,418,689.8480999999999
731,181,363.1553,10001,14160.289200000001
596,125,184.06849999999997,11615,17063.721100000002
848,52,59.0235,43,63.7967
478,15,20.0112,12991,18807.2307
