endpoint_role,dtpm_commune_code,dpa_cut_com,endpoint_count,endpoint_share_within_dtpm_code,is_modal_mapping
origin,20,13107,20,1.2522344558571702e-05,False
origin,15,13128,22,1.3066328842673679e-05,False
origin,21,13125,100,0.00022573669169334123,False
origin,19,13126,29,5.9917850560748436e-05,False
origin,31,13102,18,5.441420089722971e-05,False
origin,30,13116,2,2.5332585177651085e-06,False
origin,31,13105,99,0.0002992781049347634,False
origin,20,13124,13,8.139523963071606e-06,False
origin,4,13120,15,1.0280718444020118e-05,False
origin,18,13128,40,6.550128955663814e-05,False
origin,35,13128,28,3.2740419919271476e-05,False
origin,24,13123,4,3.7667337145267854e-06,False
origin,40,13105,21,4.519637826355515e-05,False
origin,34,13129,13,1.244383165486784e-06,False
origin,37,13107,33,3.932846057679359e-05,False
origin,27,13101,38,7.148406563742153e-05,False
origin,27,13131,6,1.1286957732224453e-05,False
origin,32,13116,3,5.0179643122378115e-06,False
origin,0,13301,27,0.0005328071040947213,False
origin,20,13128,1,6.261172279285851e-07,False
origin,36,13126,1,1.1368416265929994e-06,False
origin,22,13107,1,1.2718131859047488e-06,False
origin,20,13301,2,1.2522344558571702e-06,False
origin,8,13201,2,1.5368525720380432e-06,False
origin,40,13129,1,2.152208488740721e-06,False
origin,13,13119,3,4.962532876780309e-05,False
origin,28,13130,2,4.889186586027683e-06,False
origin,16,13121,1,3.4993519200244115e-07,False
origin,41,13121,1,7.444724779691982e-07,False
origin,33,13109,1,1.7529989429416374e-06,False
origin,20,13302,2,1.2522344558571702e-06,False
origin,33,13106,1,1.7529989429416374e-06,False
destination,6,13201,2580899,0.9965026446385017,True
destination,36,13108,913624,0.9927490799165921,True
destination,3,13114,4423952,0.9954293904616399,True
destination,26,13118,752392,0.4934649953565001,True
destination,23,13123,6681661,0.9916883631146828,True
destination,16,13106,3016678,0.9891308588978981,True
destination,25,13120,2917288,0.8342230452740798,True
destination,41,13109,1267893,0.9897094317589277,True
destination,34,13101,11204134,0.992980534038822,True
destination,5,13110,2910621,0.9949215136808413,True
destination,14,13119,3116914,0.9925146978701264,True
destination,28,13111,291027,0.8746746572254648,True
destination,24,13113,1121866,0.9826164719154463,True
destination,38,13127,1638828,0.98430709280005,True
destination,16,13101,18694,0.006129528002735893,False
destination,35,13101,17493,0.02063004606468869,False
destination,4,13122,1275493,0.9154698384945875,True
destination,4,13118,105003,0.07536464680829073,False
destination,8,13401,1130984,0.9934480689854477,True
destination,37,13104,807602,0.9854669608254668,True
destination,29,13112,332627,0.9282000909707359,True
destination,31,13116,265386,0.9872880883025859,True
destination,23,13101,28176,0.0041818660538329175,False
destination,39,13130,1471466,0.9821873881955903,True
destination,27,13129,315329,0.6433513215746682,True
destination,32,13102,517677,0.9939862790389568,True
destination,17,13117,1245101,0.7968406710326154,True
destination,15,13124,1559549,0.9825069488369046,True
destination,33,13121,500750,0.8918426011348619,True
destination,25,13122,204565,0.05849708265227571,False
destination,17,13106,304577,0.19492341670362556,False
destination,14,13102,2636,0.000839377905064321,False
destination,30,13105,687268,0.9627800184075637,True
destination,19,13128,399731,0.980689496126123,True
destination,18,13103,488884,0.9075069935457045,True
destination,26,13122,280983,0.18428595039587803,False
destination,20,13125,1495198,0.9951606322659569,True
destination,33,13101,37899,0.06749863752453346,False
destination,2,13115,378041,0.9791702820378002,True
destination,22,13132,563951,0.9753933909626448,True
destination,26,13129,467882,0.306865821217384,False
destination,40,13131,457286,0.9691650682971802,True
destination,35,13126,784849,0.9255971545089382,True
destination,25,13101,342909,0.09805771327064362,False
destination,27,13118,155874,0.3180225856141675,False
destination,21,13107,424206,0.9825906486118382,True
destination,5,13118,3806,0.0013009839759519641,False
destination,25,13123,3083,0.0008816097857256423,False
destination,31,13109,380,0.0014136746985710725,False
destination,5,13201,5448,0.0018622597743001314,False
destination,13,13604,34038,0.9990021131721061,True
destination,25,13113,18563,0.0053082460111661045,False
destination,17,13126,2517,0.0016108315461870906,False
destination,15,13119,1259,0.0007931627980817934,False
destination,4,13110,7472,0.0053629385917692675,False
destination,38,13101,7339,0.004407924293494843,False
destination,30,13109,9829,0.013769249842751217,False
destination,19,13108,5191,0.012735462534531235,False
destination,30,13131,4717,0.006607951114890374,False
destination,15,13117,19703,0.012412777291982188,False
destination,35,13103,36429,0.042961867495029116,False
destination,41,13116,565,0.0004410355045290053,False
destination,25,13118,10353,0.002960527444572681,False
destination,26,13120,3929,0.00257688009276506,False
destination,38,13104,3014,0.0018102580488613513,False
destination,23,13114,22908,0.003399992460292606,False
destination,38,13107,5062,0.0030403205850484936,False
destination,37,13108,1502,0.0018327980554281083,False
destination,18,13124,23846,0.04426492126576216,False
destination,30,13401,9860,0.013812677123769152,False
destination,27,13130,13281,0.027096616238383303,False
destination,14,13124,19465,0.006198213551622537,False
destination,28,13110,23388,0.07029207215546726,False
destination,5,13129,900,0.0003076420331993609,False
destination,0,13302,37545,0.9988294447843784,True
destination,33,13116,19518,0.03476182504033996,False
destination,3,13113,8336,0.0018756757304076153,False
destination,34,13106,28189,0.0024982857464950305,False
destination,16,13117,5299,0.0017374756010750773,False
destination,34,13123,20617,0.001827207678012276,False
destination,26,13110,19526,0.012806352937472782,False
destination,24,13122,12409,0.010868755983333814,False
destination,38,13123,3002,0.0018030506511883797,False
destination,29,13105,3854,0.01075463853085052,False
destination,34,13126,6016,0.0005331756022176773,False
destination,34,13130,6102,0.0005407974608929965,False
destination,18,13126,4465,0.008288303004765078,False
destination,39,13121,980,0.000654139232868227,False
destination,18,13117,20700,0.03842505536363653,False
destination,32,13121,1596,0.0030644631717193825,False
destination,39,13109,18418,0.012293812643843882,False
destination,4,13113,4556,0.003270014483953531,False
destination,24,13114,5041,0.00441529526246964,False
destination,34,13120,4552,0.000403426752209918,False
destination,6,13110,4536,0.0017513804283237134,False
destination,39,13116,2040,0.0013616775867869215,False
destination,29,13111,2962,0.008265500604146145,False
destination,8,13112,901,0.0007914318064233344,False
destination,16,13124,5835,0.001913223274631643,False
destination,34,13108,8810,0.0007807973829018844,False
destination,17,13103,5661,0.0036229310222348514,False
destination,36,13128,2994,0.0032532975767605456,False
destination,19,13104,2233,0.005478383324910084,False
destination,23,13113,489,7.257710463956191e-05,False
destination,28,13131,17474,0.052517687226126,False
destination,21,13127,4194,0.009714584848583115,False
destination,17,13124,4691,0.003002149695337164,False
destination,31,13121,1297,0.004825094958017581,False
destination,40,13111,5139,0.010891519281104623,False
destination,36,13104,1073,0.0011659279558664214,False
destination,37,13128,2732,0.003333691269926493,False
destination,16,13126,634,0.00020788064372175865,False
destination,32,13119,1001,0.001922009796297683,False
destination,37,13127,4422,0.005395894141879558,False
destination,6,13112,4101,0.0015834239719037806,False
destination,41,13130,3146,0.0024557481367225675,False
destination,5,13111,1301,0.00044471365021374283,False
destination,30,13112,1957,0.002741522224261281,False
destination,23,13120,4066,0.0006034734303976662,False
destination,41,13105,3682,0.0028741464206651283,False
destination,38,13108,7711,0.004631353621356961,False
destination,22,13114,14220,0.02459450203916441,False
destination,8,13105,3300,0.0028986958503851314,False
destination,29,13110,10943,0.03053658781606052,False
destination,5,13122,3294,0.0011259698415096609,False
destination,34,13121,1106,9.802064761515143e-05,False
destination,35,13117,4639,0.005470918864350931,False
destination,34,13127,3661,0.00032446075128306456,False
destination,2,13114,7217,0.018692871740014452,False
destination,37,13125,1365,0.0016656253965774753,False
destination,15,13103,4265,0.0026869256027155274,False
destination,20,13107,1252,0.0008332950629929803,False
destination,39,13101,1779,0.0011874629543597711,False
destination,41,13131,5787,0.00451729639771567,False
destination,35,13106,2633,0.003105179859848244,False
destination,33,13130,2652,0.004723248283993318,False
destination,35,13128,1895,0.002234833207144862,False
destination,8,13119,2342,0.0020571956610915083,False
destination,40,13112,7233,0.015329511375798743,False
destination,3,13132,3778,0.000850084322154507,False
destination,21,13125,1736,0.004021106174806936,False
destination,27,13111,2080,0.0042437287686045684,False
destination,16,13119,2459,0.0008062752411858115,False
destination,39,13129,2074,0.0013843722132333702,False
destination,14,13106,1246,0.00039676209017835507,False
destination,24,13120,2374,0.002079331670919049,False
destination,29,13201,3992,0.011139729376013305,False
destination,20,13104,5462,0.0036353495479773627,False
destination,29,13401,2367,0.00660514514855298,False
destination,21,13104,1586,0.0036736603647717745,False
destination,27,13110,1384,0.002823711834494578,False
destination,3,13123,4505,0.001013665926761793,False
destination,27,13101,1990,0.004060105889193794,False
destination,5,13112,108,3.6917043983923314e-05,False
destination,15,13106,1195,0.0007528431641840692,False
destination,29,13131,1612,0.004498307553640643,False
destination,2,13132,825,0.002136846222185385,False
destination,37,13107,1889,0.0023050303107215024,False
destination,3,13115,3694,0.0008311835590361961,False
destination,33,13102,656,0.0011683449752260997,False
destination,15,13302,76,4.78795652535475e-05,False
destination,31,13401,1553,0.005777465281265462,False
destination,40,13109,933,0.0019773861625356323,False
destination,36,13101,2464,0.0026773965361182313,False
destination,40,13130,1210,0.0025644557949283118,False
destination,32,13401,250,0.00048002242664777297,False
destination,39,13131,1381,0.0009218023271336953,False
destination,8,13403,414,0.00036365457032104374,False
destination,13,13119,6,0.00017609767551068326,False
destination,15,13128,1189,0.0007490631985061576,False
destination,16,13102,204,6.688903993570783e-05,False
destination,28,13129,766,0.002302194598558574,False
destination,30,13116,206,0.00028858128676434534,False
destination,4,13120,742,0.0005325616213989288,False
destination,23,13127,361,5.35794167175498e-05,False
destination,27,13120,137,0.0002795148275475124,False
destination,8,13116,395,0.00034696510936428084,False
destination,34,13129,150,1.3293939549975331e-05,False
destination,33,13109,2,3.5620273634942062e-06,False
destination,32,13116,182,0.00034945632659957876,False
destination,27,13131,60,0.0001224152529405164,False
destination,19,13126,110,0.0002698710997492652,False
destination,8,13102,106,9.310962428509815e-05,False
destination,32,13106,103,0.00019776923977888247,False
destination,25,13129,251,7.177556153653462e-05,False
destination,36,13127,142,0.0001542980146626578,False
destination,14,13401,156,4.9674868433245094e-05,False
destination,24,13123,23,2.0145167831144955e-05,False
destination,41,13401,3,2.3417814399770193e-06,False
destination,0,13125,23,0.0006118811354385591,False
destination,31,13102,104,0.00038690044381945143,False
destination,20,13124,62,4.126541046770349e-05,False
destination,19,13124,293,0.0007188384747866791,False
destination,6,13401,421,0.00016255096127078557,False
