service_date,day_class,table,field,unique_nonempty_values,both_present,valid_epsg_32719_broad,invalid_or_outside_broad_range
2024-11-25,laboral,viajes,comuna_inicio_viaje,37,,,
2024-11-25,laboral,viajes,comuna_fin_viaje,37,,,
2024-11-25,laboral,viajes,zona_inicio_viaje,798,,,
2024-11-25,laboral,viajes,zona_fin_viaje,799,,,
2024-11-25,laboral,etapas,comuna_subida,36,,,
2024-11-25,laboral,etapas,comuna_bajada,36,,,
2024-11-25,laboral,etapas,zona_subida,798,,,
2024-11-25,laboral,etapas,zona_bajada,799,,,
2024-11-25,laboral,etapas,coordinates_subida,,4700060,4699209,851
2024-11-25,laboral,etapas,coordinates_bajada,,3649043,3649043,0
2024-11-26,laboral,viajes,comuna_inicio_viaje,37,,,
2024-11-26,laboral,viajes,comuna_fin_viaje,37,,,
2024-11-26,laboral,viajes,zona_inicio_viaje,798,,,
2024-11-26,laboral,viajes,zona_fin_viaje,799,,,
2024-11-26,laboral,etapas,comuna_subida,36,,,
2024-11-26,laboral,etapas,comuna_bajada,36,,,
2024-11-26,laboral,etapas,zona_subida,798,,,
2024-11-26,laboral,etapas,zona_bajada,799,,,
2024-11-26,laboral,etapas,coordinates_subida,,4817522,4816308,1214
2024-11-26,laboral,etapas,coordinates_bajada,,3787135,3787135,0
2024-11-27,laboral,viajes,comuna_inicio_viaje,37,,,
2024-11-27,laboral,viajes,comuna_fin_viaje,37,,,
2024-11-27,laboral,viajes,zona_inicio_viaje,799,,,
2024-11-27,laboral,viajes,zona_fin_viaje,799,,,
2024-11-27,laboral,etapas,comuna_subida,36,,,
2024-11-27,laboral,etapas,comuna_bajada,36,,,
2024-11-27,laboral,etapas,zona_subida,799,,,
2024-11-27,laboral,etapas,zona_bajada,799,,,
2024-11-27,laboral,etapas,coordinates_subida,,4861139,4860267,872
2024-11-27,laboral,etapas,coordinates_bajada,,3802999,3802999,0
2024-11-28,laboral,viajes,comuna_inicio_viaje,37,,,
2024-11-28,laboral,viajes,comuna_fin_viaje,37,,,
2024-11-28,laboral,viajes,zona_inicio_viaje,798,,,
2024-11-28,laboral,viajes,zona_fin_viaje,799,,,
2024-11-28,laboral,etapas,comuna_subida,36,,,
2024-11-28,laboral,etapas,comuna_bajada,36,,,
2024-11-28,laboral,etapas,zona_subida,798,,,
2024-11-28,laboral,etapas,zona_bajada,799,,,
2024-11-28,laboral,etapas,coordinates_subida,,4828015,4826778,1237
2024-11-28,laboral,etapas,coordinates_bajada,,3746508,3746508,0
2024-11-29,laboral,viajes,comuna_inicio_viaje,37,,,
2024-11-29,laboral,viajes,comuna_fin_viaje,37,,,
2024-11-29,laboral,viajes,zona_inicio_viaje,798,,,
2024-11-29,laboral,viajes,zona_fin_viaje,799,,,
2024-11-29,laboral,etapas,comuna_subida,36,,,
2024-11-29,laboral,etapas,comuna_bajada,36,,,
2024-11-29,laboral,etapas,zona_subida,798,,,
2024-11-29,laboral,etapas,zona_bajada,799,,,
2024-11-29,laboral,etapas,coordinates_subida,,4807235,4806414,821
2024-11-29,laboral,etapas,coordinates_bajada,,3641388,3641388,0
