service_date,day_class,table,field,valid,missing,invalid,zero,negative,min,max,mean,std
2024-11-10,domingo,viajes,ultimaetapaconbajada,1182013,0,0,507313,0,0.0,1.0,0.5708059048419941,0.4949611336655702
2024-11-10,domingo,etapas,fExpansionServicioPeriodoTS,1500391,0,0,268730,0,0.0,152.3579,0.9965447324730689,0.7070534767235067
2024-11-10,domingo,etapas,fExpansionZonaPeriodoTS,964113,536278,0,0,0,1.0003,16.6728,1.55639494872489,0.24235801515092437
2024-11-10,domingo,etapas,tiempo2,0,0,1500391,0,0,,,,
2024-11-10,domingo,etapas,tiempo_subida,0,0,1500391,0,0,,,,
2024-11-10,domingo,etapas,tiempo_bajada,0,531947,968444,0,0,,,,
2024-11-10,domingo,etapas,tiempo_etapa,968444,531947,0,5,0,0.0,21384.0,1158.0805570585392,789.5334596874103
2024-11-10,domingo,etapas,x_subida,1500391,0,0,0,293,-1.0,361062.0,346748.1397822301,7433.739332194457
2024-11-10,domingo,etapas,y_subida,1500391,0,0,0,293,-1.0,6312626.0,6294463.157605584,88204.25476225092
2024-11-10,domingo,etapas,x_bajada,968444,531947,0,0,0,325723.0,361072.0,347052.40214715566,5515.582564101759
2024-11-10,domingo,etapas,y_bajada,968444,531947,0,0,0,6270371.0,6312653.0,6295929.154936166,6153.14798370517
2024-11-10,domingo,etapas,dist_ruta_paraderos,968444,531947,0,16763,0,0.0,53854.0,7397.517036607176,6102.464999815586
2024-11-10,domingo,etapas,dist_eucl_paraderos,968444,531947,0,0,0,10.0,6320488.0,34622.0470589936,423218.41836886434
2024-11-11,laboral,viajes,factor_expansion,3541818,0,0,1004563,0,0.0,15.5061,0.9999988483033287,0.6422156616117176
2024-11-11,laboral,viajes,n_etapas,3541818,0,0,0,0,1.0,31.0,1.3264303812335925,0.5480360944056194
2024-11-11,laboral,viajes,tviaje,0,3541818,0,0,0,,,,
2024-11-11,laboral,viajes,tviaje2,2033820,1507998,0,0,0,35.0,13587.0,1716.4205849091857,1134.5502830526957
2024-11-11,laboral,viajes,distancia_eucl,2541999,999819,0,6,0,0.0,6321103.5,8279.80793852591,50738.64844617076
2024-11-11,laboral,viajes,distancia_ruta,3541818,0,0,1078442,12885,-48242.0,65567.0,6835.579476133444,7678.105337293098
