service_date,day_class,table,field,empty,dash
2024-11-11,laboral,viajes,ultimaetapaconbajada,0,0
2024-11-11,laboral,viajes,tipo_corte_etapa_viaje,0,0
2024-11-11,laboral,viajes,id_tarjeta,0,0
2024-11-11,laboral,viajes,id_viaje,0,0
2024-11-11,laboral,etapas,tipo_dia,0,0
2024-11-11,laboral,etapas,tipo_transporte,0,0
2024-11-11,laboral,etapas,fExpansionServicioPeriodoTS,0,0
2024-11-11,laboral,etapas,fExpansionZonaPeriodoTS,0,1096249
2024-11-11,laboral,etapas,tiene_bajada,0,0
2024-11-11,laboral,etapas,tiempo2,0,0
2024-11-11,laboral,etapas,tiempo_subida,0,0
2024-11-11,laboral,etapas,tiempo_bajada,0,1090946
2024-11-11,laboral,etapas,tiempo_etapa,0,1090946
2024-11-11,laboral,etapas,x_subida,0,0
2024-11-11,laboral,etapas,y_subida,0,0
2024-11-11,laboral,etapas,x_bajada,0,1090946
2024-11-11,laboral,etapas,y_bajada,0,1090946
2024-11-11,laboral,etapas,dist_ruta_paraderos,0,1090946
2024-11-11,laboral,etapas,dist_eucl_paraderos,0,1090946
2024-11-11,laboral,etapas,comuna_subida,0,1533
2024-11-11,laboral,etapas,comuna_bajada,0,1095834
2024-11-11,laboral,etapas,zona_subida,0,1606
2024-11-11,laboral,etapas,zona_bajada,0,1095864
2024-11-11,laboral,etapas,periodoSubida,0,0
2024-11-11,laboral,etapas,periodoBajada,0,1090946
2024-11-11,laboral,etapas,id_etapa,0,0
2024-11-11,laboral,etapas,correlativo_viajes,0,0
2024-11-12,laboral,viajes,tipodia,0,0
2024-11-12,laboral,viajes,factor_expansion,0,0
2024-11-12,laboral,viajes,n_etapas,0,0
2024-11-12,laboral,viajes,tviaje,0,3550376
2024-11-12,laboral,viajes,tviaje2,0,1514387
2024-11-12,laboral,viajes,distancia_eucl,0,986547
2024-11-12,laboral,viajes,distancia_ruta,0,0
2024-11-12,laboral,viajes,tiempo_inicio_viaje,0,0
2024-11-12,laboral,viajes,tiempo_fin_viaje,0,986567
2024-11-12,laboral,viajes,periodo_inicio_viaje,0,0
2024-11-12,laboral,viajes,periodo_fin_viaje,0,0
2024-11-12,laboral,viajes,comuna_inicio_viaje,0,0
2024-11-12,laboral,viajes,comuna_fin_viaje,0,0
2024-11-12,laboral,viajes,zona_inicio_viaje,0,2241
2024-11-12,laboral,viajes,zona_fin_viaje,0,990527
2024-11-12,laboral,viajes,netapassinbajada,0,0
2024-11-12,laboral,viajes,ultimaetapaconbajada,0,0
2024-11-12,laboral,viajes,tipo_corte_etapa_viaje,0,0
2024-11-12,laboral,viajes,id_tarjeta,0,0
2024-11-12,laboral,viajes,id_viaje,0,0
2024-11-12,laboral,etapas,tipo_dia,0,0
2024-11-12,laboral,etapas,tipo_transporte,0,0
2024-11-12,laboral,etapas,fExpansionServicioPeriodoTS,0,0
2024-11-12,laboral,etapas,fExpansionZonaPeriodoTS,0,1093779
2024-11-12,laboral,etapas,tiene_bajada,0,0
2024-11-12,laboral,etapas,tiempo2,0,0
2024-11-12,laboral,etapas,tiempo_subida,0,0
